exercise_points exam_points grades
2.19 25.30 0.00
15.49 36.98 4.00
8.67 32.74 2.00
13.26 39.59 4.00
13.26 40.00 4.00
10.93 36.08 3.00
8.84 33.74 3.00
4.99 29.18 1.00
17.58 40.00 5.00
7.72 29.66 2.00
13.28 38.60 4.00
11.96 36.84 4.00
9.74 34.93 3.00
11.83 34.07 3.00
4.59 29.72 1.00
12.20 34.94 3.00
11.39 35.83 3.00
12.36 35.69 4.00
9.86 35.53 3.00
7.81 31.15 2.00
12.36 33.38 3.00
15.82 40.00 5.00
2.83 27.38 1.00
8.82 32.64 2.00
2.93 27.30 1.00
2.25 25.83 0.00
17.97 40.00 5.00
20.00 40.00 5.00
6.60 28.47 1.00
10.04 30.25 2.00
8.63 34.93 3.00
13.98 40.00 5.00
15.85 37.29 4.00
18.66 40.00 5.00
10.05 37.36 3.00
8.09 33.04 2.00
7.45 34.29 2.00
12.64 38.67 4.00
11.75 36.64 4.00
7.08 36.21 3.00
6.12 33.24 2.00
13.09 40.00 4.00
20.00 40.00 5.00
7.09 32.43 2.00
8.65 33.18 2.00
12.07 40.00 4.00
15.34 40.00 5.00
14.04 34.44 4.00
13.06 36.78 4.00
11.75 36.70 4.00
15.01 39.75 5.00
13.81 40.00 4.00
20.00 40.00 5.00
3.23 26.71 1.00
8.09 33.80 2.00
9.21 33.91 3.00
13.58 36.58 4.00
10.25 35.80 3.00
6.66 30.87 2.00
14.81 36.05 4.00
1.91 25.79 0.00
10.14 40.00 4.00
5.43 27.72 1.00
12.04 40.00 4.00
11.00 36.96 4.00
9.95 35.40 3.00
5.30 29.10 1.00
1.23 25.34 0.00
15.21 37.61 4.00
10.13 40.00 4.00
6.74 31.20 2.00
15.20 40.00 5.00
12.63 34.02 3.00
8.96 30.80 2.00
17.30 40.00 5.00
3.88 25.58 0.00
14.42 40.00 5.00
3.50 29.30 1.00
0.62 31.56 1.00
9.18 34.28 3.00
9.29 28.24 2.00
11.21 33.58 3.00
3.02 26.42 0.00
12.72 31.40 3.00
7.68 33.99 2.00
17.72 39.76 5.00
15.96 40.00 5.00
3.45 32.14 1.00
6.57 33.23 2.00
14.37 39.73 5.00
12.83 38.48 4.00
8.61 34.54 3.00
8.58 30.55 2.00
9.81 34.82 3.00
7.29 31.36 2.00
10.97 32.47 3.00
7.93 29.02 2.00
12.43 38.62 4.00
14.60 39.01 4.00
8.68 35.30 3.00
9.56 32.64 3.00
5.90 33.72 2.00
14.31 38.58 4.00
14.30 40.00 5.00
16.06 38.95 5.00
18.21 40.00 5.00
11.51 37.19 4.00
12.02 37.87 4.00
13.72 35.65 4.00
6.02 33.58 2.00
18.21 40.00 5.00
12.16 40.00 4.00
11.55 36.46 4.00
18.64 40.00 5.00
10.25 35.47 3.00
11.64 35.19 3.00
17.43 40.00 5.00
8.75 33.71 3.00
14.33 39.88 5.00
7.41 32.24 2.00
14.76 40.00 5.00
6.92 33.33 2.00
6.40 35.53 3.00
10.81 39.42 4.00
6.69 29.76 2.00
20.00 40.00 5.00
9.53 33.87 3.00
11.12 39.52 4.00
10.11 30.94 2.00
10.34 37.51 3.00
16.39 39.20 5.00
10.97 37.34 4.00
5.53 32.90 2.00
14.65 40.00 5.00
8.28 30.88 2.00
8.23 32.66 2.00
5.93 29.58 1.00
12.86 40.00 4.00
17.22 40.00 5.00
8.71 34.25 3.00
6.16 31.93 2.00
20.00 39.65 5.00
15.53 40.00 5.00
6.20 31.20 2.00
1.31 28.25 0.00
3.84 25.17 0.00
15.41 36.21 4.00
16.61 40.00 5.00
12.70 40.00 4.00
3.58 31.81 1.00
9.05 29.29 2.00
2.82 27.23 1.00
6.63 35.51 3.00
3.01 27.14 1.00
14.68 36.86 4.00
16.98 36.67 4.00
9.81 31.43 2.00
9.90 37.10 3.00
10.61 36.13 3.00
6.28 33.90 2.00
9.06 34.02 3.00
9.83 33.64 3.00
14.96 37.03 4.00
11.68 40.00 4.00
8.44 32.86 2.00
8.36 32.16 2.00
10.81 36.54 3.00
7.92 36.36 3.00
15.75 34.75 4.00
10.03 38.74 4.00
6.81 32.12 2.00
7.65 31.44 2.00
11.20 38.22 4.00
5.05 34.33 2.00
17.86 40.00 5.00
5.04 25.47 1.00
8.30 32.08 2.00
8.89 33.74 3.00
0.36 22.39 0.00
2.28 23.11 0.00
9.88 37.12 3.00
9.74 30.74 2.00
6.32 33.45 2.00
14.19 40.00 5.00
13.59 33.60 3.00
13.29 37.70 4.00
5.16 29.94 1.00
15.05 37.12 4.00
10.23 37.88 4.00
6.56 31.96 2.00
10.94 31.62 3.00
0.00 21.15 0.00
15.43 39.24 5.00
0.00 30.10 1.00
9.66 32.83 3.00
9.31 35.90 3.00
7.51 35.09 3.00
8.22 40.00 4.00
5.13 25.21 1.00
14.42 35.04 4.00
5.07 27.55 1.00
6.77 32.15 2.00
10.06 36.76 3.00
10.63 36.34 3.00
10.00 32.60 3.00
12.44 37.51 4.00
4.41 23.07 0.00
12.37 30.73 3.00
8.48 33.23 2.00
8.61 34.13 3.00
9.83 34.72 3.00
7.60 24.88 1.00
11.00 30.31 2.00
3.03 29.39 1.00
11.40 36.92 4.00
7.12 33.49 2.00
15.13 37.47 4.00
11.59 35.04 3.00
9.42 34.19 3.00
3.35 30.91 1.00
8.37 29.64 2.00
5.24 29.15 1.00
10.29 32.89 3.00
7.41 37.05 3.00
6.46 34.19 2.00
15.07 40.00 5.00
9.83 28.61 2.00
17.29 40.00 5.00
15.76 38.14 5.00
5.77 28.39 1.00
7.90 33.15 2.00
16.80 37.97 5.00
7.40 26.36 1.00
7.98 37.03 3.00
4.41 29.45 1.00
10.45 40.00 4.00
4.80 26.36 1.00
5.09 26.10 1.00
11.44 35.26 3.00
5.96 30.79 2.00
3.43 34.76 2.00
8.19 34.96 3.00
12.24 37.10 4.00
7.00 31.01 2.00
7.65 35.43 3.00
10.93 35.15 3.00
12.08 37.91 4.00
6.34 33.69 2.00
13.72 39.49 4.00
2.73 26.57 0.00
10.15 40.00 4.00
16.25 33.60 4.00
14.06 40.00 5.00
0.00 20.90 0.00
1.26 26.26 0.00
6.15 38.96 3.00
11.48 34.43 3.00
11.35 40.00 4.00
17.47 40.00 5.00
8.24 32.43 2.00
11.09 29.89 2.00
7.49 30.88 2.00
16.47 39.14 5.00
8.08 34.09 3.00
12.85 38.64 4.00
12.17 40.00 4.00
7.75 35.45 3.00
8.06 30.07 2.00
8.48 34.58 3.00
9.80 35.43 3.00
14.86 40.00 5.00
4.41 28.50 1.00
9.12 36.92 3.00
11.58 33.17 3.00
14.39 40.00 5.00
11.31 40.00 4.00
11.79 35.40 3.00
8.26 30.51 2.00
20.00 40.00 5.00
5.55 32.17 2.00
9.25 37.65 3.00
8.30 35.24 3.00
13.60 40.00 4.00
6.24 34.48 2.00
11.12 37.60 4.00
8.40 27.13 1.00
6.77 28.89 1.00
4.69 26.01 1.00
18.10 40.00 5.00
19.02 40.00 5.00
3.91 25.33 0.00
9.81 34.83 3.00
17.11 40.00 5.00
8.88 34.15 3.00
10.55 40.00 4.00
9.11 37.11 3.00
9.46 31.56 2.00
15.61 39.00 5.00
6.80 29.43 2.00
20.00 40.00 5.00
16.82 39.01 5.00
13.37 37.19 4.00
13.00 35.27 4.00
6.06 34.88 2.00
5.57 28.85 1.00
0.64 23.58 0.00
8.91 30.59 2.00
11.43 38.42 4.00
14.53 40.00 5.00
2.84 29.10 1.00
0.37 24.22 0.00
10.17 31.77 3.00
11.02 36.85 3.00
11.33 35.05 3.00
8.54 33.27 2.00
10.35 30.67 2.00
8.72 32.79 2.00
12.54 38.58 4.00
13.62 40.00 4.00
10.18 37.48 3.00
0.69 25.11 0.00
5.26 32.29 2.00
19.19 40.00 5.00
14.77 34.38 4.00
10.09 27.02 2.00
13.63 37.96 4.00
16.96 40.00 5.00
7.36 31.38 2.00
10.35 35.00 3.00
8.33 35.90 3.00
7.85 39.82 3.00
11.34 39.82 4.00
8.50 35.04 3.00
11.23 38.24 4.00
10.43 36.09 3.00
7.75 25.42 1.00
14.47 36.19 4.00
11.34 35.26 3.00
7.90 32.74 2.00
13.55 39.89 4.00
7.81 32.21 2.00
6.36 33.73 2.00
4.74 35.23 2.00
7.87 39.41 3.00
7.90 37.57 3.00
16.65 40.00 5.00
9.08 37.11 3.00
11.76 37.45 4.00
14.52 37.37 4.00
6.76 33.74 2.00
2.39 31.58 1.00
13.88 37.70 4.00
8.77 31.03 2.00
0.00 29.27 0.00
7.45 30.03 2.00
12.58 34.81 3.00
13.05 37.26 4.00
7.06 32.81 2.00
14.20 36.78 4.00
18.16 39.33 5.00
4.50 29.66 1.00
0.00 28.28 0.00
0.00 22.79 0.00
9.50 40.00 4.00
3.97 25.89 0.00
11.12 36.29 3.00
10.77 35.86 3.00
14.43 40.00 5.00
8.04 37.03 3.00
3.81 28.52 1.00
15.94 40.00 5.00
10.35 33.56 3.00
10.76 37.00 3.00
4.07 29.63 1.00
12.85 34.46 3.00
8.90 34.79 3.00
13.08 37.88 4.00
8.25 35.88 3.00
7.77 35.20 3.00
12.29 39.34 4.00
14.21 40.00 5.00
8.62 35.98 3.00
0.00 24.46 0.00
17.72 40.00 5.00
6.64 35.09 2.00
11.16 33.83 3.00
11.35 37.63 4.00
17.69 40.00 5.00
13.75 40.00 4.00
1.80 23.95 0.00
15.20 37.48 4.00
16.90 40.00 5.00
9.74 35.22 3.00
3.83 26.98 1.00
10.80 39.23 4.00
14.82 39.55 5.00
11.48 37.54 4.00
16.69 39.91 5.00
12.93 36.17 4.00
11.77 37.22 4.00
11.47 40.00 4.00
8.44 29.42 2.00
13.98 39.07 4.00
10.55 34.26 3.00
14.17 40.00 5.00
9.43 34.09 3.00
15.36 35.44 4.00
14.71 39.88 5.00
8.86 33.11 3.00
8.27 31.03 2.00
12.47 39.23 4.00
9.13 38.94 4.00
0.28 24.45 0.00
10.96 39.10 4.00
7.57 25.98 1.00
5.44 26.43 1.00
15.82 37.52 4.00
15.57 37.30 4.00
14.97 39.82 5.00
8.69 36.31 3.00
9.71 33.98 3.00
5.81 28.12 1.00
5.24 29.61 1.00
11.92 40.00 4.00
13.41 40.00 4.00
11.59 34.62 3.00
5.40 26.24 1.00
6.51 31.39 2.00
8.93 31.25 2.00
8.68 31.93 2.00
6.90 38.31 3.00
6.97 35.37 3.00
18.99 37.88 5.00
3.91 25.75 0.00
11.36 36.22 3.00
5.20 34.53 2.00
14.33 37.90 4.00
4.94 31.22 2.00
10.93 34.26 3.00
17.41 40.00 5.00
8.15 34.96 3.00
12.82 40.00 4.00
11.68 33.25 3.00
11.58 40.00 4.00
16.07 40.00 5.00
0.00 22.38 0.00
6.17 34.12 2.00
2.48 29.87 1.00
16.44 32.68 4.00
16.21 39.18 5.00
1.81 27.79 0.00
7.31 33.03 2.00
14.27 37.81 4.00
14.69 37.99 4.00
3.34 28.71 1.00
8.81 35.07 3.00
12.96 40.00 4.00
16.12 40.00 5.00
10.53 40.00 4.00
19.63 40.00 5.00
15.37 37.67 4.00
20.00 40.00 5.00
14.01 34.08 4.00
10.75 36.08 3.00
20.00 40.00 5.00
14.23 40.00 5.00
14.13 39.51 4.00
1.28 36.88 2.00
13.71 40.00 4.00
8.62 30.40 2.00
7.79 33.77 2.00
18.86 40.00 5.00
15.26 39.40 5.00
12.94 40.00 4.00
19.94 40.00 5.00
16.01 40.00 5.00
10.36 37.42 3.00
3.86 25.96 0.00
16.07 36.68 4.00
1.41 30.50 1.00
10.93 31.06 3.00
8.19 31.10 2.00
9.33 29.33 2.00
10.25 40.00 4.00
12.78 34.63 3.00
15.84 40.00 5.00
7.41 31.55 2.00
3.12 29.77 1.00
8.73 33.67 3.00
11.44 37.30 4.00
15.78 40.00 5.00
11.85 40.00 4.00
9.33 35.00 3.00
15.94 40.00 5.00
9.72 35.58 3.00
12.22 36.86 4.00
14.03 40.00 5.00
4.64 28.42 1.00
13.98 39.92 5.00
7.71 38.81 3.00
9.94 36.16 3.00
5.00 29.39 1.00
0.00 27.86 0.00
16.26 40.00 5.00
7.71 34.05 2.00
16.28 40.00 5.00
9.82 35.42 3.00
3.50 27.41 1.00
1.40 26.88 0.00
20.00 40.00 5.00
15.75 39.60 5.00
7.57 34.08 2.00
0.00 25.03 0.00
2.05 26.38 0.00
7.57 29.81 2.00
4.82 26.23 1.00
7.77 32.34 2.00
10.88 31.82 3.00
2.34 24.85 0.00
16.23 40.00 5.00
12.83 37.56 4.00
9.76 30.88 2.00
10.85 37.61 4.00
17.54 40.00 5.00
6.43 27.86 1.00
7.56 33.19 2.00
11.56 33.95 3.00
5.78 36.07 2.00
17.17 40.00 5.00
5.22 34.09 2.00
12.41 35.04 3.00
11.93 39.51 4.00
14.39 40.00 5.00
17.10 37.16 5.00
12.95 40.00 4.00
16.06 40.00 5.00
13.33 35.76 4.00
3.38 34.76 2.00
7.16 33.22 2.00
13.23 40.00 4.00
6.82 34.93 2.00
4.08 28.01 1.00
6.31 33.15 2.00
2.77 22.40 0.00
7.85 33.04 2.00
0.00 22.26 0.00
12.93 37.10 4.00
17.62 40.00 5.00
1.42 22.81 0.00
9.15 30.66 2.00
14.79 40.00 5.00
7.66 28.16 1.00
15.01 37.79 4.00
8.05 30.47 2.00
3.12 27.92 1.00
3.45 30.00 1.00
7.32 31.85 2.00
16.74 40.00 5.00
1.36 28.72 1.00
14.23 34.33 4.00
1.98 24.87 0.00
16.07 40.00 5.00
6.04 31.42 2.00
7.70 36.60 3.00
12.23 38.32 4.00
12.82 36.83 4.00
12.88 32.85 3.00
10.67 38.97 4.00
6.47 27.95 1.00
13.41 40.00 4.00
13.69 40.00 4.00
6.10 32.03 2.00
13.00 40.00 4.00
20.00 40.00 5.00
15.52 40.00 5.00
20.00 40.00 5.00
9.84 30.94 2.00
14.68 40.00 5.00
13.04 38.23 4.00
4.64 31.98 2.00
0.55 28.86 0.00
17.06 40.00 5.00
15.46 39.08 5.00
11.42 34.60 3.00
10.93 39.95 4.00
11.19 35.80 3.00
12.40 38.00 4.00
5.84 33.85 2.00
4.07 30.48 1.00
13.26 36.71 4.00
6.42 30.07 2.00
6.78 36.29 3.00
8.49 32.92 2.00
9.42 35.70 3.00
9.43 40.00 4.00
8.89 37.75 3.00
13.06 39.41 4.00
16.75 39.37 5.00
9.54 34.43 3.00
10.03 34.24 3.00
14.11 40.00 5.00
7.24 32.57 2.00
0.00 25.06 0.00
4.04 25.51 0.00
6.58 25.55 1.00
10.26 39.23 4.00
12.00 36.93 4.00
3.18 22.59 0.00
13.40 37.39 4.00
9.55 32.04 2.00
13.69 36.82 4.00
17.20 40.00 5.00
4.89 30.26 1.00
20.00 40.00 5.00
16.80 39.91 5.00
4.20 28.85 1.00
15.73 39.84 5.00
12.13 40.00 4.00
10.39 34.32 3.00
7.32 38.28 3.00
3.95 26.64 1.00
7.33 30.70 2.00
16.18 40.00 5.00
9.13 35.82 3.00
13.11 35.30 4.00
6.02 28.10 1.00
6.27 29.92 2.00
7.33 34.15 2.00
8.94 30.97 2.00
11.33 36.44 3.00
18.60 40.00 5.00
1.35 26.15 0.00
13.43 36.44 4.00
3.71 25.76 0.00
6.45 30.89 2.00
12.72 38.01 4.00
16.62 40.00 5.00
20.00 40.00 5.00
11.50 34.00 3.00
2.54 30.40 1.00
17.16 40.00 5.00
11.93 32.80 3.00
18.74 40.00 5.00
6.49 33.32 2.00
20.00 40.00 5.00
19.14 40.00 5.00
14.12 37.54 4.00
15.62 39.45 5.00
12.04 34.82 3.00
12.60 40.00 4.00
8.93 33.48 3.00
8.41 32.78 2.00
10.76 35.15 3.00
13.27 37.09 4.00
3.91 28.04 1.00
4.63 28.29 1.00
4.74 28.91 1.00
14.95 40.00 5.00
2.41 29.04 1.00
16.72 38.64 5.00
11.77 34.14 3.00
10.89 40.00 4.00
18.57 40.00 5.00
13.55 40.00 4.00
16.22 40.00 5.00
8.30 36.63 3.00
10.82 30.34 2.00
14.86 40.00 5.00
12.98 40.00 4.00
2.88 25.97 0.00
1.87 28.06 1.00
0.00 19.40 0.00
16.80 35.87 4.00
12.95 35.03 4.00
14.07 37.99 4.00
10.83 33.09 3.00
11.63 38.09 4.00
4.14 28.62 1.00
10.16 33.24 3.00
10.88 38.03 4.00
7.28 31.09 2.00
11.49 32.29 3.00
8.95 31.99 2.00
8.44 33.77 3.00
12.70 39.78 4.00
8.90 34.32 3.00
10.41 40.00 4.00
8.42 30.39 2.00
6.19 28.75 1.00
10.77 38.69 4.00
4.81 29.86 1.00
6.70 29.66 2.00
14.82 40.00 5.00
16.12 40.00 5.00
5.00 26.77 1.00
6.95 32.76 2.00
14.59 37.52 4.00
16.89 37.82 5.00
7.45 33.77 2.00
11.54 38.43 4.00
5.61 28.90 1.00
14.73 37.40 4.00
14.07 38.63 4.00
7.17 31.42 2.00
7.33 35.19 3.00
7.10 26.86 1.00
15.36 40.00 5.00
11.68 37.23 4.00
7.66 31.49 2.00
7.03 33.80 2.00
19.63 40.00 5.00
10.23 29.46 2.00
14.03 39.04 4.00
2.36 22.00 0.00
12.27 39.40 4.00
0.00 24.67 0.00
11.45 40.00 4.00
20.00 40.00 5.00
13.61 33.68 3.00
8.14 35.28 3.00
16.90 39.74 5.00
15.13 40.00 5.00
13.93 34.35 4.00
7.68 35.49 3.00
11.24 35.42 3.00
16.16 40.00 5.00
9.68 39.01 4.00
3.40 33.80 2.00
12.65 38.27 4.00
8.88 32.82 2.00
3.76 29.54 1.00
9.70 34.03 3.00
6.63 29.19 1.00
12.36 38.46 4.00
12.53 35.87 4.00
11.41 38.71 4.00
13.27 40.00 4.00
10.58 33.53 3.00
8.22 40.00 4.00
19.84 40.00 5.00
13.15 40.00 4.00
15.59 40.00 5.00
3.00 24.83 0.00
9.98 35.76 3.00
4.80 32.39 2.00
14.36 35.31 4.00
12.98 39.18 4.00
6.16 28.38 1.00
11.76 35.77 3.00
7.10 35.76 3.00
5.80 28.11 1.00
9.76 37.56 3.00
11.43 37.04 4.00
8.58 36.55 3.00
13.80 36.88 4.00
19.45 40.00 5.00
10.61 40.00 4.00
2.99 24.84 0.00
9.76 33.92 3.00
7.12 33.91 2.00
7.62 32.95 2.00
13.85 39.48 4.00
14.00 32.84 3.00
10.61 35.18 3.00
3.34 22.79 0.00
8.39 31.56 2.00
18.31 40.00 5.00
20.00 40.00 5.00
9.62 33.51 3.00
9.92 31.92 2.00
13.99 38.05 4.00
13.06 35.77 4.00
0.00 23.30 0.00
3.17 31.78 1.00
16.61 40.00 5.00
11.59 36.52 4.00
2.55 28.62 1.00
17.14 40.00 5.00
10.93 34.16 3.00
15.48 39.39 5.00
13.56 37.75 4.00
12.42 38.13 4.00
0.00 31.96 1.00
18.55 40.00 5.00
4.25 32.57 2.00
6.49 34.61 2.00
16.55 40.00 5.00
8.49 37.69 3.00
12.44 40.00 4.00
7.18 24.83 1.00
11.76 35.33 3.00
6.11 29.20 1.00
14.17 34.58 4.00
10.68 37.59 4.00
6.83 26.10 1.00
7.90 29.52 2.00
6.26 30.96 2.00
8.39 37.36 3.00
0.95 29.78 1.00
4.87 32.02 2.00
16.59 39.69 5.00
12.35 37.24 4.00
17.53 40.00 5.00
16.20 37.64 4.00
13.50 40.00 4.00
15.30 40.00 5.00
5.39 27.73 1.00
7.91 36.85 3.00
15.81 40.00 5.00
18.06 40.00 5.00
1.59 29.22 1.00
13.48 32.60 3.00
8.09 27.97 2.00
8.08 35.25 3.00
16.59 40.00 5.00
15.78 37.10 4.00
0.10 25.77 0.00
8.32 29.55 2.00
7.60 34.77 3.00
8.70 31.41 2.00
13.29 40.00 4.00
6.25 39.45 3.00
6.23 32.38 2.00
12.01 40.00 4.00
12.70 40.00 4.00
8.15 32.62 2.00
13.98 40.00 5.00
10.80 37.68 4.00
0.00 23.99 0.00
9.14 39.27 4.00
13.34 39.54 4.00
12.34 32.91 3.00
17.12 40.00 5.00
12.05 35.67 3.00
11.04 39.81 4.00
4.15 24.63 0.00
